Procedure,global_Mean_total_billions,global_SD_total_billions,global_WHO_Mean_total_billions,global_WHO_SD_total_billions
Consult_perio,1.9794878519238261,0.7768939834148035,5.287090423990837,3.160118101349749
Consult_simple,10.349791265319597,2.512797878677724,22.161430817823902,8.380025515950447
Denture,3.0152810068755445,1.437653518414743,5.07844570989726,3.5136022070147326
Denture_repair,1.8662586342622958,0.6965730356277934,3.5490023657451264,1.7263991023221619
Extraction,6.2030340369893615,2.577898315354704,12.666688405336155,7.4310092881872825
Full_fixed,3.432616031990996,2.507302915516667,7.478814024436542,6.499730497848844
GTR,1.0822312017549636,0.342699640793448,3.635474168079995,1.4137131407865537
Implant_surgery,2.164218862817054,1.311673699888927,8.233534618336185,6.837370378561797
Maintenance_perio,23.170904062003668,4.753352356592717,136.36223289137993,38.87799714903864
Maintenance_simp,65.23164263794543,10.492987180155222,138.57163094677585,21.13819625537585
OFD,0.9141730422807781,0.30107556920411255,1.6788933736965297,1.0571886302524935
OHI,3.2632842902598553,1.2544836065382836,8.604481190099028,3.7485163767745493
OPG,6.9676498027029,1.7127842305081107,18.457316188298915,5.992468115593369
PA,2.8455200410986223,0.7950006836485874,7.173931290633805,2.5037013732869466
Prophy,18.610139143550885,4.36239007680029,42.13621090750785,5.497666736283982
RootDeb,7.773057309688073,3.002517417533073,15.273638803619823,6.916301855173457
Single_implant,16.49495025080748,5.5842202339137925,40.702576013424995,13.911141257828419
