measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,18,Thailand,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.1820840970620146,0.2234812496191,0.1458034346862443
5,Prevalence,18,Thailand,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0562179594384792,0.0692324737381613,0.0438151744589208
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.0939384188539672,0.1233028359910091,0.0687354049226094
5,Prevalence,16,Philippines,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0436438351037726,0.0509024036513434,0.0371617269506123
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0379600567306307,0.0469801143150669,0.0294326154683058
5,Prevalence,16,Philippines,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.0349557577399915,0.0430227232894176,0.0278345070957421
5,Prevalence,15,Myanmar,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.0663888163680545,0.0883249722903715,0.0475716686570198
5,Prevalence,15,Myanmar,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0208452549877185,0.025749399380978,0.0161346913603374
5,Prevalence,14,Maldives,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0223437150811409,0.0272190663878522,0.0175227255121573
5,Prevalence,14,Maldives,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.0766601730255967,0.1064392040092219,0.0544382774767891
5,Prevalence,13,Malaysia,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.0819865424666854,0.1077723134817733,0.060705775606407
5,Prevalence,13,Malaysia,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0452769077911271,0.0551650240794039,0.035826958231132
5,Prevalence,34,Azerbaijan,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0564361304348065,0.069213293018992,0.0443524362956806
5,Prevalence,11,Indonesia,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.1520311238194668,0.1879654887418695,0.114666225434856
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0159210821099803,0.0196676223542363,0.0123894887676908
5,Prevalence,11,Indonesia,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0354502668224699,0.0417865164301416,0.029717347241225
5,Prevalence,33,Armenia,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0841049740775783,0.1027427770084637,0.0675347204197048
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.047555996678705,0.0643273490326449,0.0325789039630705
5,Prevalence,10,Cambodia,3,Both,22,All ages,684,Edentulism,2,Percent,2021,0.0290334895565824,0.0358195260678866,0.022504884722712
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,683,Periodontal diseases,2,Percent,2021,0.1606668689132124,0.2014210118557792,0.1205722680566275
