measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,18,Thailand,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,11829054.229428316,14514573.328668157,9466031.639681166
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,2022140.0081243156,2658731.293793852,1481668.043668462
5,Prevalence,34,Azerbaijan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1218877.9319455351,1573231.0773707458,911907.8016619352
5,Prevalence,33,Armenia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,356734.3549206412,449692.6432873411,268781.4514037744
5,Prevalence,16,Philippines,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,3805439.044476523,4688830.898583628,3031749.8469987605
5,Prevalence,14,Maldives,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,38396.23512268613,53524.45492993615,27295.020075920336
5,Prevalence,32,Central Asia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,9005490.523662504,11750808.893595964,6640328.869494569
5,Prevalence,15,Myanmar,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,3646236.089230822,4849842.425703391,2617287.417141048
5,Prevalence,30,Vanuatu,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,4406.541021224334,6319.458425809198,3146.570449366164
5,Prevalence,13,Malaysia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,2488546.7641415675,3271223.615920742,1849045.0704609607
5,Prevalence,31,"Central Europe, Eastern Europe, and Central Asia",3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,57497012.64771173,71821054.7960777,44610397.10146046
5,Prevalence,29,Tonga,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1985.0021867950848,2721.813194973816,1417.771131222573
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,338619.1064870389,459101.2632204176,232033.63849526792
5,Prevalence,10,Cambodia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1518824.344654632,1995925.722732027,1081626.5920248851
5,Prevalence,27,Samoa,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,3780.9089624143207,5161.84746095268,2646.318391766993
5,Prevalence,11,Indonesia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,41014678.70060799,50701864.73757552,30942525.68459981
5,Prevalence,28,Solomon Islands,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,8940.06924158529,12919.12513363446,6147.526071940744
5,Prevalence,9,Southeast Asia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,74747686.27608113,88527198.07615823,61840624.03096129
5,Prevalence,26,Papua New Guinea,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,150395.5108319093,217155.69235739764,104032.55567305388
5,Prevalence,25,Micronesia (Federated States of),3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1835.1066464273592,2612.5444134687878,1271.9345275428643
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,3658321.93062322,4587873.180192793,2748684.265139795
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,974.8496625673162,1365.68167913531,672.1341440963754
