Procedure,global_Mean_total_billions,global_SD_total_billions,global_WHO_Mean_total_billions,global_WHO_SD_total_billions
Consult_perio,1.8759060605417917,0.7695454142692486,4.674377345490946,2.6486859579208923
Consult_simple,10.280057935427827,2.473136433029215,21.585763255099724,7.625328322781926
Denture,2.86592684791324,1.3111828892624737,4.668040496212518,3.008322833302242
Denture_repair,1.7823910968120842,0.6487910882092169,3.2760123209746417,1.545284221496288
Extraction,5.895539029773289,2.442652611410201,11.338408946877532,5.495156132436658
Full_fixed,3.251748206467244,2.2910309073575017,6.856773145407813,6.124722248500933
GTR,1.0283555504904438,0.31892782184844304,3.1764677615075665,1.2656945374854398
Implant_surgery,2.0836958120709093,1.2358984085363989,6.955167572578338,5.85521279115458
Maintenance_perio,22.057045868846508,4.436117423009328,118.102202083094,32.09526854639541
Maintenance_simp,65.76488360698002,10.42217682187556,136.92956138508134,20.89664861085683
OFD,0.8672742067418904,0.28106329245817335,1.5291449679735878,0.8830672202556246
OHI,3.181582633455051,1.2163728495921724,8.22715795710808,3.6561684385798676
OPG,6.88797551773994,1.6936781840868618,17.5270155700823,5.769440962545301
PA,2.7476347564352084,0.7389550113686775,6.606754044792089,2.274148649244478
Prophy,18.822846558612564,4.305147344011305,41.4626074605238,5.407570957782618
RootDeb,7.4171837244072165,2.799958781669269,13.936402600323849,6.212068365327883
Single_implant,15.819604869933343,5.265553460916868,36.18815373213028,12.195995085098694
