Procedure,global_Mean_total_billions,global_SD_total_billions
Consult_perio,2.911620309560504,0.7901394777931849
Consult_simple,4.593299681604086,1.6048001072717213
Denture,4.796812412428868,1.7640673737551553
Denture_repair,2.8634392154539476,0.8243267542741544
Extraction,9.322794869559017,3.1439158628417765
Full_fixed,5.375365039373929,3.2379662806912264
GTR,1.6867549851484165,0.4273774017950439
Implant_surgery,3.320383660215516,1.69931253705596
Maintenance_perio,43.44696564101454,5.738723575685447
Maintenance_simp,23.879394195370043,5.3803041713608595
OFD,1.4390851047965285,0.36484474450559584
OHI,2.097900715984558,0.7518127402484719
OPG,4.647929110498601,1.099277019960249
PA,2.9900943945511873,0.8690835803564289
Prophy,8.18602014333765,2.478204769351076
RootDeb,11.984110465509948,3.7677056527685115
Single_implant,25.939922943903277,6.597823201347526
