Procedure,global_Mean_total_billions,global_SD_total_billions,global_WHO_Mean_total_billions,global_WHO_SD_total_billions
Consult_perio,1.7995331338181595,0.6927348862294186,4.300682895534376,2.3132676770340574
Consult_simple,10.200136358242258,2.4310335675329133,21.422993082931733,7.908895136120962
Denture,2.7601594749620206,1.2993795657987577,4.392253962765434,2.44668553428824
Denture_repair,1.717133961279842,0.6442064642492771,3.0753637730835397,1.409001828917348
Extraction,5.644350869096693,2.311505574511317,10.72328296131547,5.157074518376933
Full_fixed,3.151357238715566,2.344972501321279,6.323780755947785,4.713014206049781
GTR,0.9859056100364444,0.3098334922063815,2.9289167104985125,1.120100821274261
Implant_surgery,2.0078744261344115,1.2328272312938866,6.601325636988019,5.940810226997587
Maintenance_perio,21.243425624596313,4.262563535466672,108.05476214360027,29.034926750304603
Maintenance_simp,65.59373390469213,10.401772265613891,134.87096581305138,20.615238009418235
OFD,0.8319814689142997,0.2706841562394692,1.4397403778534015,0.8816744998345835
OHI,3.1293874881637644,1.205766075474285,7.958984339183188,3.5127485362558595
OPG,6.797307478090283,1.6721648511058944,17.05169776007044,5.919923739768626
PA,2.68101214057492,0.7206393560305301,6.320876042717747,2.000417370740446
Prophy,18.831489009474964,4.2904745134366244,40.85107891913937,5.3971020797687075
RootDeb,7.144137974635356,2.712060394707387,13.126200687112833,6.095822382845411
Single_implant,15.182312775632042,5.048411811079815,33.57602223643007,11.112282832355346
