Procedure,global_Mean_total_billions,global_SD_total_billions,global_WHO_Mean_total_billions,global_WHO_SD_total_billions
Consult_perio,1.9213420523555185,0.688358488717801,5.005263511325242,2.936969300203942
Consult_simple,10.334735108266122,2.5302848315950857,22.04667086338819,8.166752782582785
Denture,2.9600852994150073,1.3872164426058635,4.88840473843063,2.9459344224047705
Denture_repair,1.8325869694207468,0.6791410762010579,3.433534916951262,1.7051024776284511
Extraction,6.053050582266093,2.527987285324244,12.02158187903561,5.99908268072395
Full_fixed,3.3579300154685527,2.4619381342431637,7.184686065673199,5.775968106585789
GTR,1.0624020879900573,0.3377910072373084,3.4100143933467395,1.3114889583046547
Implant_surgery,2.1201557929548684,1.290562250133797,7.643638165897828,7.071690053279337
Maintenance_perio,22.756977844966904,4.552540780035793,127.1621570864748,35.0283038328482
Maintenance_simp,65.68579498222255,10.581295274343342,138.5326524122214,21.922319350526852
OFD,0.8955466031013748,0.29102961834393787,1.5953346504286494,0.8726398000964659
OHI,3.21535091194133,1.2339656126863605,8.435100546748313,3.8030640310006576
OPG,6.940289219544407,1.7143324313998562,17.995885760611877,5.978855500475397
PA,2.7974008054776314,0.7655198945430738,6.90467415283666,2.429807389588871
Prophy,18.68034828099864,4.2960366698535415,41.80896948722698,5.39868143754244
RootDeb,7.645114055257773,2.9204991368731297,14.587565785583603,7.091639510434363
Single_implant,16.242828441839453,5.385636944186627,38.64706039287401,13.349634654959399
